City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Yeppoon,-23.1333,150.7333,15.88,72,65,4.81,AU,2023-07-15
203,Polyarnyy,69.1989,33.4478,15.17,92,96,1.55,RU,2023-07-15
204,Cabo San Lucas,22.8909,-109.9124,36.61,58,40,0.0,MX,2023-07-15
205,Inhambane,-23.865,35.3833,18.35,78,0,1.08,MZ,2023-07-15
206,Fale Old Settlement,-9.3852,-171.2468,28.42,72,48,4.75,TK,2023-07-15
207,Villa Gesell,-37.2639,-56.973,10.59,68,80,6.54,AR,2023-07-15
208,Kayangel,8.0823,134.7173,26.82,86,100,7.38,PW,2023-07-15
209,Winkler,49.1817,-97.941,20.43,45,100,5.14,CA,2023-07-15
210,Dakoro,14.5106,6.765,35.29,30,11,2.32,NE,2023-07-15
211,Namibe,-15.1961,12.1522,19.18,57,0,1.97,AO,2023-07-15
212,Tangalle,6.024,80.7911,26.13,87,81,4.9,LK,2023-07-15
213,Alice Springs,-23.7,133.8833,9.75,93,100,3.09,AU,2023-07-15
214,Bonthe,7.5264,-12.505,25.15,84,19,2.7,SL,2023-07-15
215,Ulladulla,-35.35,150.4667,13.09,80,96,1.9,AU,2023-07-15
216,Qamdo,31.1667,97.2333,4.39,82,82,1.12,CN,2023-07-15
217,Amga,60.8953,131.9608,9.31,79,37,0.89,RU,2023-07-15
218,Novodvinsk,64.4165,40.8122,16.37,73,96,1.8,RU,2023-07-15
219,Miyaly,48.8844,53.7836,23.11,69,53,7.61,KZ,2023-07-15
220,Puerto Baquerizo Moreno,-0.9,-89.6,27.55,74,75,7.2,EC,2023-07-15
221,Balikpapan,-1.2675,116.8289,25.55,94,75,4.12,ID,2023-07-15
222,Manado,1.487,124.8455,22.43,100,40,1.03,ID,2023-07-15
223,Lompoc,34.6391,-120.4579,36.12,72,40,2.57,US,2023-07-15
224,Hailakandi,24.6833,92.5667,25.06,95,100,1.18,IN,2023-07-15
225,General Pico,-35.6566,-63.7568,12.65,35,1,4.66,AR,2023-07-15
226,Maibong,25.3,93.1667,23.61,98,100,1.47,IN,2023-07-15
227,Arhribs,36.7936,4.3116,27.95,60,67,1.82,DZ,2023-07-15
228,Wuwei,37.9281,102.6414,20.3,30,0,2.88,CN,2023-07-15
229,Tsiombe,-25.3,45.4833,17.02,67,0,2.92,MG,2023-07-15
230,Valle De La Pascua,9.2155,-66.0073,28.28,81,100,1.71,VE,2023-07-15
231,Novhorod-Sivers'Kyy,52.0058,33.2615,16.04,69,18,3.41,UA,2023-07-15
232,Raton,36.9034,-104.4391,25.19,30,5,6.61,US,2023-07-15
233,Xining,36.6167,101.7667,11.32,75,45,1.31,CN,2023-07-15
234,Tandil,-37.3217,-59.1332,8.71,57,2,5.47,AR,2023-07-15
235,Leava,-14.3,-178.1667,26.37,80,99,12.39,WF,2023-07-15
236,Ndele,8.4109,20.6473,21.22,96,100,1.36,CF,2023-07-15
237,Linqiong,30.4159,103.4609,22.9,67,100,1.19,CN,2023-07-15
238,Huarmey,-10.0681,-78.1522,23.96,69,0,4.81,PE,2023-07-15
239,Nogliki,51.8333,143.1667,10.93,88,98,2.03,RU,2023-07-15
240,Chegdomyn,51.1167,133.0167,16.5,62,100,0.74,RU,2023-07-15
241,Chifeng,42.2683,118.9636,17.47,74,14,2.99,CN,2023-07-15
242,Hasaki,35.7333,140.8333,26.27,87,100,6.62,JP,2023-07-15
243,Gharo,24.7424,67.5856,30.12,71,100,9.26,PK,2023-07-15
244,Ola,59.5833,151.2833,13.21,78,17,0.73,RU,2023-07-15
245,Denison,33.7557,-96.5367,32.86,71,75,4.12,US,2023-07-15
246,Talca,-35.4333,-71.6667,10.55,63,100,3.92,CL,2023-07-15
247,Rongelap,11.1635,166.8941,28.2,74,23,7.55,MH,2023-07-15
248,Cape Canaveral,28.4058,-80.6048,35.03,73,0,5.66,US,2023-07-15
249,Calingasta,-31.3308,-69.4078,18.14,8,0,3.22,AR,2023-07-15
250,Viana Do Castelo,41.6932,-8.8329,17.09,77,94,4.88,PT,2023-07-15
251,Vorkuta,67.5,64.0,9.91,77,44,1.67,RU,2023-07-15
252,Mankera,31.3866,71.4407,36.08,42,1,5.66,PK,2023-07-15
253,Gebeit,21.0667,36.3167,35.4,14,66,0.71,SD,2023-07-15
254,Santa Elena De Uairen,4.6167,-61.1333,24.91,71,43,2.83,VE,2023-07-15
255,Washington,47.5001,-120.5015,34.63,15,3,2.22,US,2023-07-15
256,Anadyr,64.75,177.4833,15.28,87,20,4.0,RU,2023-07-15
257,Jampur,29.6441,70.5954,37.45,34,3,3.29,PK,2023-07-15
258,Leua,48.2156,18.6071,22.42,76,0,2.18,SK,2023-07-15
259,Igarka,67.4667,86.5833,9.6,87,100,3.29,RU,2023-07-15
260,Selfoss,63.9331,-20.9971,12.8,67,82,4.45,IS,2023-07-15
261,Estebania,18.4577,-70.6435,31.85,47,44,4.17,DO,2023-07-15
262,Aasiaat,68.7098,-52.8699,3.43,95,100,4.19,GL,2023-07-15
263,At Taraf,25.3628,49.725,36.3,53,2,1.9,SA,2023-07-15
264,Queenstown,-31.8976,26.8753,10.48,49,41,3.48,ZA,2023-07-15
265,Solnechnyy,50.7214,136.6319,16.36,64,100,0.45,RU,2023-07-15
266,Kirakira,-10.4544,161.9205,24.96,93,100,3.73,SB,2023-07-15
267,Kyzyl,51.7,94.45,20.99,61,98,1.21,RU,2023-07-15
268,Hammerfest,70.6634,23.6821,12.25,76,100,2.06,NO,2023-07-15
269,Tacna,-18.0056,-70.2483,16.11,82,75,2.57,PE,2023-07-15
270,Nelson Bay,-32.7167,152.15,14.44,72,77,3.58,AU,2023-07-15
271,Puerto Deseado,-47.7503,-65.8938,4.0,62,32,6.93,AR,2023-07-15
272,Horta,38.5333,-28.6333,19.45,94,75,1.34,PT,2023-07-15
273,Petropavlovsk-Kamchatsky,53.0452,158.6483,12.33,100,75,2.0,RU,2023-07-15
274,Quezon,7.7303,125.0989,22.13,96,87,0.63,PH,2023-07-15
275,Tarko-Sale,64.9225,77.785,11.75,70,19,4.01,RU,2023-07-15
276,Marka,1.7159,44.7717,24.71,83,90,6.76,SO,2023-07-15
277,Kikwit,-5.041,18.8162,26.54,29,12,0.86,CD,2023-07-15
278,Uelsen,52.5,6.8833,18.84,68,35,4.41,DE,2023-07-15
279,Cruz Alta,-28.6386,-53.6064,12.76,80,82,2.2,BR,2023-07-15
280,San Antonio,29.4241,-98.4936,41.7,28,20,4.12,US,2023-07-15
281,Mosfellsbaer,64.1667,-21.7,12.58,71,75,1.54,IS,2023-07-15
282,Loch Garman,52.3342,-6.4575,15.5,90,98,7.15,IE,2023-07-15
283,Madras,13.0878,80.2785,30.99,84,40,4.12,IN,2023-07-15
284,Tinajo,29.0788,-13.7081,24.49,73,75,9.26,ES,2023-07-15
285,Laojunmiao,39.8333,97.7333,22.85,26,0,2.24,CN,2023-07-15
286,Okhotsk,59.3833,143.3,12.69,91,100,2.25,RU,2023-07-15
287,Smithers,54.7804,-127.1743,24.18,41,75,1.54,CA,2023-07-15
288,Slatina,44.4333,24.3667,26.37,52,0,3.04,RO,2023-07-15
289,Safranbolu,41.2508,32.6942,17.19,88,0,0.84,TR,2023-07-15
290,Kaohsiung,22.6163,120.3133,28.35,85,75,2.57,TW,2023-07-15
291,La Gi,10.6667,107.7833,25.49,91,100,4.7,VN,2023-07-15
292,Nuriootpa,-34.4833,139.0,5.21,86,2,1.28,AU,2023-07-15
293,Forster,-32.1667,152.5167,12.49,71,6,2.76,AU,2023-07-15
294,Kodinsk,58.6881,99.1844,15.53,49,100,2.05,RU,2023-07-15
295,Dunedin,-45.8742,170.5036,7.83,82,100,4.37,NZ,2023-07-15
296,Rio Grande,-32.035,-52.0986,13.06,73,55,2.47,BR,2023-07-15
297,Tarfaya,27.9358,-12.9218,22.08,87,0,9.26,MA,2023-07-15
298,San Juan,-31.5375,-68.5364,13.36,37,0,5.59,AR,2023-07-15
299,Pozarevac,44.6153,21.1825,23.95,64,0,2.81,RS,2023-07-15
300,Nova Vicosa,-17.8919,-39.3719,22.71,71,100,5.54,BR,2023-07-15
